,Unit,Session,Type,Description,Weight,Due,Length,School
0,PCOL3912,2024-S1C-ND-CC,,Final examination,50%,Formal exam period,2 hours,Pharmacy
1,PCOL3912,2024-S1C-ND-CC,Online task,Online quiz,5%,Progressive,10 MCQs / 15mins,Pharmacy
2,PCOL3912,2024-S1C-ND-CC,Tutorial quiz,Mid-Semester tutorial quiz,15%,0 Apr 2024,60 minutes during lecture slot,Pharmacy
3,PCOL3912,2024-S1C-ND-CC,Presentation,Individual drug: oral,12.5%,Week 09,5 min presentation + 2 min questions,Pharmacy
4,PCOL3912,2024-S1C-ND-CC,Participation,Individual drug: worksheet,2.5%,Week 09,One page based on template,Pharmacy
5,PCOL3912,2024-S1C-ND-CC,Assignment,Discipline project report,15%,5 May 2024,"8–12 pages, 1.5 spacing and 2cm margins",Pharmacy
0,BIOL1006,2024-S1C-ND-CC,,Final Exam,30%,Formal exam period,1.5 hours,Life and Environmental Sciences Academic Operations
1,BIOL1006,2024-S1C-ND-CC,Small continuous assessment,Lab notebook,20%,Multiple weeks,Weeks 6 and 13,Life and Environmental Sciences Academic Operations
2,BIOL1006,2024-S1C-ND-CC,Online task,Early Feedback Task,5%,8 Mar 2024,15 mins,Life and Environmental Sciences Academic Operations
3,BIOL1006,2024-S1C-ND-CC,Assignment,Writing task - Indigenous land management,15%,1 Mar 2024,A short piece of writing,Life and Environmental Sciences Academic Operations
4,BIOL1006,2024-S1C-ND-CC,Assignment,Scientific Report,25%,6 Apr 2024,1000 – 1200 words in length,Life and Environmental Sciences Academic Operations
5,BIOL1006,2024-S1C-ND-CC,Tutorial quiz,Pre-prac quiz,5%,Weekly,10 minutes,Life and Environmental Sciences Academic Operations
0,BIOL1906,2024-S1C-ND-CC,,Final Exam,30%,Formal exam period,1.5 hours,Life and Environmental Sciences Academic Operations
1,BIOL1906,2024-S1C-ND-CC,Small continuous assessment,Lab notebook,20%,Multiple weeks,Due in weeks 6 and 13,Life and Environmental Sciences Academic Operations
2,BIOL1906,2024-S1C-ND-CC,Online task,Early Feedback Task,5%,8 Mar 2024,15 mins,Life and Environmental Sciences Academic Operations
3,BIOL1906,2024-S1C-ND-CC,Assignment,Writing task - Indigenous land management,15%,1 Mar 2024,A short piece of writing,Life and Environmental Sciences Academic Operations
4,BIOL1906,2024-S1C-ND-CC,Assignment,Sydney Park project report,25%,3 May 2024,approx 4-5 pages,Life and Environmental Sciences Academic Operations
5,BIOL1906,2024-S1C-ND-CC,Tutorial quiz,Pre-prac quiz,5%,Weekly,10 minutes,Life and Environmental Sciences Academic Operations
0,BIOL1996,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL1996,2024-S1C-ND-CC,Tutorial quiz,Week 2 pre-lab quiz,2%,1 Mar 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
2,BIOL1996,2024-S1C-ND-CC,Tutorial quiz,Early Feedback Task,2%,8 Mar 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
3,BIOL1996,2024-S1C-ND-CC,Tutorial quiz,Week 4 pre-lab quiz,2%,5 Mar 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
4,BIOL1996,2024-S1C-ND-CC,Tutorial quiz,Week 5 pre-lab quiz,2%,2 Mar 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
5,BIOL1996,2024-S1C-ND-CC,Tutorial quiz,Week 10 pre-lab quiz,2%,3 May 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
6,BIOL1996,2024-S1C-ND-CC,Assignment,mtDNA report,30%,6 May 2024,6 pages,Life and Environmental Sciences Academic Operations
7,BIOL1996,2024-S1C-ND-CC,Presentation,Wildlife forensics presentation,20%,Week 13,15 minutes,Life and Environmental Sciences Academic Operations
0,BIOL2030,2024-S1C-ND-CC,,Theory exam,35%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL2030,2024-S1C-ND-CC,Small test,Quizzes (best 5 marks used),15%,Multiple weeks,20 min/quiz,Life and Environmental Sciences Academic Operations
2,BIOL2030,2024-S1C-ND-CC,Small continuous assessment,Anatomy of a native seedling,20%,Week 12,3 h,Life and Environmental Sciences Academic Operations
3,BIOL2030,2024-S1C-ND-CC,Skills-based evaluation,Prac test,30%,Week 13,2 h,Life and Environmental Sciences Academic Operations
0,BIOL2930,2024-S1C-ND-CC,,Theory exam,35%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL2930,2024-S1C-ND-CC,Small test,Quizzes (best 5 marks used),15%,Multiple weeks,20 min/quiz,Life and Environmental Sciences Academic Operations
2,BIOL2930,2024-S1C-ND-CC,Skills-based evaluation,Practical test,30%,Week 13,2 h,Life and Environmental Sciences Academic Operations
3,BIOL2930,2024-S1C-ND-CC,Assignment,Botany Advanced project,20%,4 May 2024,Conducted throughout the semester,Life and Environmental Sciences Academic Operations
0,BIOL2021,2024-S1C-ND-CC,,Theory exam,45%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL2021,2024-S1C-ND-CC,Small test,Laboratory Quiz,15%,Multiple weeks,n/a,Life and Environmental Sciences Academic Operations
2,BIOL2021,2024-S1C-ND-CC,Small test,Practical Exam,20%,Week 06,1 hour,Life and Environmental Sciences Academic Operations
3,BIOL2021,2024-S1C-ND-CC,Presentation,Oral presentation,20%,Week 12,See canvas for details,Life and Environmental Sciences Academic Operations
0,BIOL2921,2024-S1C-ND-CC,,Theory exam,45%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL2921,2024-S1C-ND-CC,Small test,Laboratory quizzes,15%,Multiple weeks,n/a,Life and Environmental Sciences Academic Operations
2,BIOL2921,2024-S1C-ND-CC,Small test,Practical Exam,20%,Week 06,1 hour,Life and Environmental Sciences Academic Operations
3,BIOL2921,2024-S1C-ND-CC,Assignment,Scientific Report,20%,4 May 2024,N/A,Life and Environmental Sciences Academic Operations
0,BIOL2029,2024-S1C-ND-CC,,Final exam,60%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL2029,2024-S1C-ND-CC,Tutorial quiz,Quiz 1,5%,Week 04,50 minutes,Life and Environmental Sciences Academic Operations
2,BIOL2029,2024-S1C-ND-CC,Assignment,Report,20%,4 Mar 2024,Approximately 1500 words,Life and Environmental Sciences Academic Operations
3,BIOL2029,2024-S1C-ND-CC,Tutorial quiz,Quiz 2,5%,Week 08,50 minutes,Life and Environmental Sciences Academic Operations
4,BIOL2029,2024-S1C-ND-CC,Small continuous assessment,Laboratory work,10%,4 May 2024,Completion of lab manual,Life and Environmental Sciences Academic Operations
0,BIOL2929,2024-S1C-ND-CC,,Theory exam,60%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL2929,2024-S1C-ND-CC,Tutorial quiz,Quiz 1,5%,Week 04,50 minutes,Life and Environmental Sciences Academic Operations
2,BIOL2929,2024-S1C-ND-CC,Tutorial quiz,Quiz 2,5%,Week 08,50 minutes,Life and Environmental Sciences Academic Operations
3,BIOL2929,2024-S1C-ND-CC,Assignment,Assignment for advanced students,20%,3 May 2024,1500 words,Life and Environmental Sciences Academic Operations
4,BIOL2929,2024-S1C-ND-CC,Small continuous assessment,Laboratory work,10%,4 May 2024,n/a,Life and Environmental Sciences Academic Operations
0,IMMU2011,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,IMMU2011,2024-S1C-ND-CC,Tutorial quiz,Pre-practical quiz,10%,Multiple weeks,10 mins,Department of Medical Sciences
2,IMMU2011,2024-S1C-ND-CC,Online task,Comprehension table,5%,2 Apr 2024,5 minutes,Department of Medical Sciences
3,IMMU2011,2024-S1C-ND-CC,Assignment,Title and abstract written task,15%,2 Apr 2024,250 words,Department of Medical Sciences
4,IMMU2011,2024-S1C-ND-CC,Assignment,Oral presentation,15%,2 Apr 2024,5 minutes,Department of Medical Sciences
5,IMMU2011,2024-S1C-ND-CC,Tutorial quiz,Practical exam 2 (Theory of Practical Exam),15%,1 May 2024,60 Minutes,Department of Medical Sciences
0,IMMU2911,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Department of Medical Sciences
1,IMMU2911,2024-S1C-ND-CC,Small continuous assessment,Pre-practical quiz,10%,Multiple weeks,5 minutes,Department of Medical Sciences
2,IMMU2911,2024-S1C-ND-CC,Assignment,Title and abstract written task,15%,0 Apr 2024,250 words,Department of Medical Sciences
3,IMMU2911,2024-S1C-ND-CC,Presentation,Multimedia presentation,20%,4 May 2024,10 mins,Department of Medical Sciences
4,IMMU2911,2024-S1C-ND-CC,Online task,Practical assessment 2,15%,1 May 2024,60 minutes,Department of Medical Sciences
0,MICR2031,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,1.5 hours,Life and Environmental Sciences Academic Operations
1,MICR2031,2024-S1C-ND-CC,Tutorial quiz,Quiz 1,7.5%,8 Mar 2024,40 min,Life and Environmental Sciences Academic Operations
2,MICR2031,2024-S1C-ND-CC,Tutorial quiz,Quiz 2,7.5%,9 Apr 2024,40 min,Life and Environmental Sciences Academic Operations
3,MICR2031,2024-S1C-ND-CC,Presentation,Forensic Microbiology,20%,3 May 2024,10 minute group presentation,Life and Environmental Sciences Academic Operations
4,MICR2031,2024-S1C-ND-CC,Tutorial quiz,Quiz 3,7.5%,3 May 2024,40 min,Life and Environmental Sciences Academic Operations
5,MICR2031,2024-S1C-ND-CC,Tutorial quiz,Quiz 4,7.5%,7 May 2024,40 min,Life and Environmental Sciences Academic Operations
6,MICR2031,2024-S1C-ND-CC,Skills-based evaluation,Lab write up,10%,6 May 2024,3 hours,Life and Environmental Sciences Academic Operations
7,MICR2031,2024-S1C-ND-CC,Participation,Attendance,0%,Weekly,3 hours,Life and Environmental Sciences Academic Operations
0,MICR2931,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,1.5 hours,Life and Environmental Sciences Academic Operations
1,MICR2931,2024-S1C-ND-CC,Tutorial quiz,Quiz 1,7.5%,8 Mar 2024,40 min,Life and Environmental Sciences Academic Operations
2,MICR2931,2024-S1C-ND-CC,Tutorial quiz,Quiz 2,7.5%,9 Apr 2024,40 min,Life and Environmental Sciences Academic Operations
3,MICR2931,2024-S1C-ND-CC,Tutorial quiz,Quiz 3,7.5%,3 May 2024,40 min,Life and Environmental Sciences Academic Operations
4,MICR2931,2024-S1C-ND-CC,Assignment,Forensic Microbiology Report,20%,3 May 2024,4-6 pages,Life and Environmental Sciences Academic Operations
5,MICR2931,2024-S1C-ND-CC,Tutorial quiz,Quiz 4,7.5%,7 May 2024,40 min,Life and Environmental Sciences Academic Operations
6,MICR2931,2024-S1C-ND-CC,Skills-based evaluation,Lab write up,10%,6 May 2024,3 hours,Life and Environmental Sciences Academic Operations
7,MICR2931,2024-S1C-ND-CC,Participation,Attendance,0%,Weekly,3 hours,Life and Environmental Sciences Academic Operations
0,BIOL3010,2024-S1CIFE-BM-CC,,Theory exam,40%,February exam weeks,1.5 hours,Life and Environmental Sciences Academic Operations
1,BIOL3010,2024-S1CIFE-BM-CC,Small test,Practical exam (Mary River Park),15%,Week 04,1 hour,Life and Environmental Sciences Academic Operations
2,BIOL3010,2024-S1CIFE-BM-CC,Presentation,Wildlife management talks (USyd),15%,Week 05,12 minutes,Life and Environmental Sciences Academic Operations
3,BIOL3010,2024-S1CIFE-BM-CC,Assignment,Cane toad paper,30%,5 Feb 2024,3000 words,Life and Environmental Sciences Academic Operations
0,BIOL3016,2024-S1CIFE-BM-CC,,Final exam,30%,February exam weeks,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3016,2024-S1CIFE-BM-CC,Assignment,Essay,15%,9 Jan 2024,1500 words,Life and Environmental Sciences Academic Operations
2,BIOL3016,2024-S1CIFE-BM-CC,Presentation,Biota Portfolio Presentation,7.5%,1 Feb 2024,5 min,Life and Environmental Sciences Academic Operations
3,BIOL3016,2024-S1CIFE-BM-CC,Assignment,Biota portfolio,7.5%,1 Jan 2024,2 pages,Life and Environmental Sciences Academic Operations
4,BIOL3016,2024-S1CIFE-BM-CC,Assignment,Research report,40%,6 Feb 2024,2000 words,Life and Environmental Sciences Academic Operations
0,BIOL3005,2024-S1C-ND-CC,,Theory examination,50%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3005,2024-S1C-ND-CC,Small continuous assessment,Practical short reports and quizzes,10%,Multiple weeks,Variable,Life and Environmental Sciences Academic Operations
2,BIOL3005,2024-S1C-ND-CC,Assignment,Scientific report,25%,8 Apr 2024,See Canvas,Life and Environmental Sciences Academic Operations
3,BIOL3005,2024-S1C-ND-CC,Presentation,Debate talk,15%,Week 13,10 minutes per talk,Life and Environmental Sciences Academic Operations
0,BIOL3018,2024-S1C-ND-CC,,Theory exam,50%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3018,2024-S1C-ND-CC,Assignment,Gene Technology Question 1,10%,2 Mar 2024,Written. 500 words plus a figure.,Life and Environmental Sciences Academic Operations
2,BIOL3018,2024-S1C-ND-CC,Small continuous assessment,Lab Notebook First Submission,4%,7 Mar 2024,Lab notebook Weeks 2-6.,Life and Environmental Sciences Academic Operations
3,BIOL3018,2024-S1C-ND-CC,Small test,Multiple choice questions,10%,Week 09,20 minutes.,Life and Environmental Sciences Academic Operations
4,BIOL3018,2024-S1C-ND-CC,Small continuous assessment,Lab Notebook Experiment 1,8%,5 May 2024,"Lab notebook, Weeks 7-12.",Life and Environmental Sciences Academic Operations
5,BIOL3018,2024-S1C-ND-CC,Small continuous assessment,Lab Notebook Experiment 2,8%,5 May 2024,"Lab notebook, Weeks 7-12.",Life and Environmental Sciences Academic Operations
6,BIOL3018,2024-S1C-ND-CC,Assignment,Gene Technology Question 2,10%,4 May 2024,Six minute video presentation.,Life and Environmental Sciences Academic Operations
0,BIOL3918,2024-S1C-ND-CC,,Theory exam,50%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3918,2024-S1C-ND-CC,Small continuous assessment,Lab Notebook First Submission,4%,7 Mar 2024,Lab notebook Weeks 2-6.,Life and Environmental Sciences Academic Operations
2,BIOL3918,2024-S1C-ND-CC,Assignment,Advanced Gene Technology Question Presentation,20%,9 Apr 2024,In-person presentation.,Life and Environmental Sciences Academic Operations
3,BIOL3918,2024-S1C-ND-CC,Small continuous assessment,Multiple choice questions,10%,Week 09,20 minutes.,Life and Environmental Sciences Academic Operations
4,BIOL3918,2024-S1C-ND-CC,Small continuous assessment,Lab Notebook Experiment 1,8%,5 May 2024,"Lab notebook, Weeks 7-12.",Life and Environmental Sciences Academic Operations
5,BIOL3918,2024-S1C-ND-CC,Small continuous assessment,Lab Notebook Experiment 2,8%,5 May 2024,"Lab notebook, Weeks 7-12.",Life and Environmental Sciences Academic Operations
0,BIOL3026,2024-S1C-ND-CC,,Exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3026,2024-S1C-ND-CC,Small continuous assessment,Small test,10%,Multiple weeks,15 mins,Life and Environmental Sciences Academic Operations
2,BIOL3026,2024-S1C-ND-CC,Assignment,Laboratory notebook,10%,2 Mar 2024,See Canvas,Life and Environmental Sciences Academic Operations
3,BIOL3026,2024-S1C-ND-CC,Assignment,Developmental biology literature review,20%,2 Apr 2024,1500 words,Life and Environmental Sciences Academic Operations
4,BIOL3026,2024-S1C-ND-CC,Assignment,Laboratory notebook,10%,3 May 2024,See Canvas,Life and Environmental Sciences Academic Operations
5,BIOL3026,2024-S1C-ND-CC,Assignment,Laboratory notebook,10%,4 May 2024,See Canvas,Life and Environmental Sciences Academic Operations
0,BIOL3020,2024-S1C-ND-CC,,Supervised exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3020,2024-S1C-ND-CC,Small continuous assessment,Laboratory notebook,15%,Multiple weeks,see Canvas for instructions,Life and Environmental Sciences Academic Operations
2,BIOL3020,2024-S1C-ND-CC,Assignment,Lab report,30%,3 May 2024,see Canvas for instructions,Life and Environmental Sciences Academic Operations
3,BIOL3020,2024-S1C-ND-CC,Assignment,Group Presentation: one-page summary,5%,0 May 2024,One-page summary,Life and Environmental Sciences Academic Operations
4,BIOL3020,2024-S1C-ND-CC,Presentation,Group Presentation,10%,0 May 2024,10 minutes maximum. See Canvas,Life and Environmental Sciences Academic Operations
0,BIOL3926,2024-S1C-ND-CC,,Exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3926,2024-S1C-ND-CC,Small continuous assessment,Small test,10%,Multiple weeks,15 mins,Life and Environmental Sciences Academic Operations
2,BIOL3926,2024-S1C-ND-CC,Assignment,Laboratory Notebook,10%,2 Mar 2024,See Canvas,Life and Environmental Sciences Academic Operations
3,BIOL3926,2024-S1C-ND-CC,Assignment,Developmental biology literature review,20%,2 Apr 2024,12 mins,Life and Environmental Sciences Academic Operations
4,BIOL3926,2024-S1C-ND-CC,Assignment,Laboratory notebook,10%,3 May 2024,See Canvas,Life and Environmental Sciences Academic Operations
5,BIOL3926,2024-S1C-ND-CC,Assignment,Laboratory notebook,10%,4 May 2024,See Canvas,Life and Environmental Sciences Academic Operations
0,BIOL3046,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3046,2024-S1C-ND-CC,Assignment,Wildlife Webcam Practical Aims,5%,2 Mar 2024,Up to 300 words,Life and Environmental Sciences Academic Operations
2,BIOL3046,2024-S1C-ND-CC,Presentation,Tinbergen's Four Questions,15%,Week 05,8 minutes,Life and Environmental Sciences Academic Operations
3,BIOL3046,2024-S1C-ND-CC,Assignment,Wildlife Webcam Practical Methods,5%,2 Apr 2024,Up to 400 words,Life and Environmental Sciences Academic Operations
4,BIOL3046,2024-S1C-ND-CC,Assignment,Wildlife Webcam Poster,15%,0 May 2024,Approx 800 - 1000 words,Life and Environmental Sciences Academic Operations
5,BIOL3046,2024-S1C-ND-CC,Presentation,Topics in Behaviour Debate,10%,Week 12,15 minutes,Life and Environmental Sciences Academic Operations
0,BIOL3946,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL3946,2024-S1C-ND-CC,Presentation,Tinbergen's Four Questions,15%,Week 05,8 minutes,Life and Environmental Sciences Academic Operations
2,BIOL3946,2024-S1C-ND-CC,Presentation,Topics in Behaviour Debate,10%,Week 12,Approx 15 minutes,Life and Environmental Sciences Academic Operations
3,BIOL3946,2024-S1C-ND-CC,Assignment,Advanced literature project or research project,25%,4 May 2024,Six page report,Life and Environmental Sciences Academic Operations
0,QBUS1040,2024-S1C-ND-CC,,Final exam,45%,Formal exam period,2 hours,Business Analytics
1,QBUS1040,2024-S1C-ND-CC,Assignment,Assignment 1,10%,8 Mar 2024,Details to be provided on Canvas,Business Analytics
2,QBUS1040,2024-S1C-ND-CC,,Mid-semester exam,25%,4 Apr 2024,80 minutes,Business Analytics
3,QBUS1040,2024-S1C-ND-CC,Assignment,Assignment 2,10%,9 Apr 2024,Details to be provided on Canvas,Business Analytics
4,QBUS1040,2024-S1C-ND-CC,Assignment,Assignment 3,10%,4 May 2024,Details to be provided on Canvas,Business Analytics
0,QBUS2310,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Business Analytics
1,QBUS2310,2024-S1C-ND-CC,Assignment,Assignment 1,20%,7 Mar 2024,N/A,Business Analytics
2,QBUS2310,2024-S1C-ND-CC,,Mid-Semester Test,20%,2 Apr 2024,80 minutes,Business Analytics
3,QBUS2310,2024-S1C-ND-CC,Assignment,Assignment 2,20%,5 May 2024,N/A,Business Analytics
0,QBUS2810,2024-S1C-ND-CC,,Final exam,30%,Formal exam period,2 hours,Business Analytics
1,QBUS2810,2024-S1C-ND-CC,Assignment,Individual assignment,20%,Week 06,n/a,Business Analytics
2,QBUS2810,2024-S1C-ND-CC,,Mid-semester exam,30%,9 Apr 2024,1 hour,Business Analytics
3,QBUS2810,2024-S1C-ND-CC,Assignment,Group project,20%,Week 13,n/a,Business Analytics
0,QBUS2820,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Business Analytics
1,QBUS2820,2024-S1C-ND-CC,Assignment,Individual assignment 1,30%,2 Apr 2024,n/a,Business Analytics
2,QBUS2820,2024-S1C-ND-CC,Assignment,Individual assignment 2,30%,4 May 2024,n/a,Business Analytics
0,QBUS3600,2024-S1C-ND-CC,Assignment,Individual Assignment (Individual Report),30%,7 May 2024,2000+ words,Business Analytics
1,QBUS3600,2024-S1C-ND-CC,Assignment,Individual Assignment,30%,9 Mar 2024,15 pages,Business Analytics
2,QBUS3600,2024-S1C-ND-CC,Assignment,Group project,40%,3 May 2024,25 pages,Business Analytics
0,QBUS3310,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Business Analytics
1,QBUS3310,2024-S1C-ND-CC,Assignment,Assignment 1,10%,2 Mar 2024,n/a,Business Analytics
2,QBUS3310,2024-S1C-ND-CC,,Mid-semester exam,30%,4 Apr 2024,1.5 hours,Business Analytics
3,QBUS3310,2024-S1C-ND-CC,Assignment,Assignment 2,10%,4 May 2024,n/a,Business Analytics
0,QBUS3320,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Business Analytics
1,QBUS3320,2024-S1C-ND-CC,Assignment,Simulation,10%,9 Apr 2024,n/a,Business Analytics
2,QBUS3320,2024-S1C-ND-CC,Assignment,EXCEL homework,20%,0 May 2024,n/a,Business Analytics
3,QBUS3320,2024-S1C-ND-CC,Assignment,Group project,20%,4 May 2024,3500 words,Business Analytics
0,QBUS3820,2024-S1C-ND-CC,,Final exam,45%,Formal exam period,2 hours,Business Analytics
1,QBUS3820,2024-S1C-ND-CC,Small continuous assessment,Engagement,5%,Multiple weeks,Weekly activities and submissions,Business Analytics
2,QBUS3820,2024-S1C-ND-CC,,Mid-semester exam,20%,3 Apr 2024,1.5 hours,Business Analytics
3,QBUS3820,2024-S1C-ND-CC,Assignment,Group project,30%,4 May 2024,20 pages,Business Analytics
0,QBUS3850,2024-S1C-ND-CC,Assignment,Final assignment,40%,1 Jun 2024,7 pages including graphs and tables,Business Analytics
1,QBUS3850,2024-S1C-ND-CC,,Mid-semester exam,20%,5 Apr 2024,1 hour,Business Analytics
2,QBUS3850,2024-S1C-ND-CC,Assignment,Group Assignment,40%,4 May 2024,n/a,Business Analytics
0,QBUS3400,2024-S1C-ND-CC,Participation,Attendance,0%,Ongoing,NA,Business Analytics
1,QBUS3400,2024-S1C-ND-CC,Assignment,Individual Statement One,0%,3 Mar 2024,500 words,Business Analytics
2,QBUS3400,2024-S1C-ND-CC,Assignment,Group Plan,20%,4 Mar 2024,2000 words,Business Analytics
3,QBUS3400,2024-S1C-ND-CC,Assignment,Individual Statement Two,20%,1 Apr 2024,500 words,Business Analytics
4,QBUS3400,2024-S1C-ND-CC,Presentation,Group Presentation,20%,7 May 2024,≤10 minutes,Business Analytics
5,QBUS3400,2024-S1C-ND-CC,Assignment,Group Project Report,40%,4 May 2024,4000 words,Business Analytics
6,QBUS3400,2024-S1C-ND-CC,Assignment,Group work survey,0%,6 May 2024,NA,Business Analytics
0,QBUS3400,2024-S1CIFE-BM-CC,Participation,Attendance,0%,Ongoing,NA,Business Analytics
1,QBUS3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement One,0%,4 Jan 2024,500 words,Business Analytics
2,QBUS3400,2024-S1CIFE-BM-CC,Assignment,Group Plan,20%,0 Jan 2024,2000 words,Business Analytics
3,QBUS3400,2024-S1CIFE-BM-CC,Presentation,Group Presentation,20%,6 Feb 2024,≤10 minutes,Business Analytics
4,QBUS3400,2024-S1CIFE-BM-CC,Assignment,Group Project Report,40%,6 Feb 2024,4000 words,Business Analytics
5,QBUS3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement Two,20%,3 Feb 2024,500 words,Business Analytics
6,QBUS3400,2024-S1CIFE-BM-CC,Assignment,Group work survey,0%,8 Feb 2024,NA,Business Analytics
0,INFS1000,2024-S1C-ND-CC,,Final exam,35%,Formal exam period,2 hours,Business Information Systems
1,INFS1000,2024-S1C-ND-CC,Assignment,Weekly Homework,10%,Multiple weeks,n/a,Business Information Systems
2,INFS1000,2024-S1C-ND-CC,Small test,Early Feedback Task,10%,Week 03,10-minutes,Business Information Systems
3,INFS1000,2024-S1C-ND-CC,,Mid-semester exam,20%,4 Apr 2024,1 hour,Business Information Systems
4,INFS1000,2024-S1C-ND-CC,Assignment,Group project,25%,7 May 2024,3000 words,Business Information Systems
0,INFS1000,2024-S1CIFE-BM-CC,,Final exam,60%,February exam weeks,2 hours,Business Information Systems
1,INFS1000,2024-S1CIFE-BM-CC,Assignment,Group Work,10%,Multiple weeks,n/a,Business Information Systems
2,INFS1000,2024-S1CIFE-BM-CC,Small test,Early Feedback Task,10%,9 Jan 2024,n/a,Business Information Systems
3,INFS1000,2024-S1CIFE-BM-CC,Assignment,Group Project,20%,5 Feb 2024,3000 words,Business Information Systems
0,INFS1020,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Business Information Systems
1,INFS1020,2024-S1C-ND-CC,Small test,Individual Quiz,10%,8 Mar 2024,Maximum 30 mins,Business Information Systems
2,INFS1020,2024-S1C-ND-CC,Assignment,Individual assignment,15%,5 Mar 2024,3 min. video + support documents,Business Information Systems
3,INFS1020,2024-S1C-ND-CC,Assignment,Group assignment,25%,0 May 2024,10 min. presentation + support documents,Business Information Systems
0,INFS2030,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Business Information Systems
1,INFS2030,2024-S1C-ND-CC,,Mid-semester exam,20%,8 Mar 2024,30 minutes,Business Information Systems
2,INFS2030,2024-S1C-ND-CC,Assignment,Group project report,25%,4 May 2024,2000 words,Business Information Systems
3,INFS2030,2024-S1C-ND-CC,Presentation,Group project presentation,5%,4 May 2024,10 minutes,Business Information Systems
0,INFS2050,2024-S1C-ND-CC,Online task,Discussion Board Participation,15%,e: 24 May 2,Six weeks of discussion board posts,Business Information Systems
1,INFS2050,2024-S1C-ND-CC,Assignment,Individual Assignment One,25%,2 Mar 2024,1500 words,Business Information Systems
2,INFS2050,2024-S1C-ND-CC,Assignment,Group Assignment,30%,7 May 2024,2000 words,Business Information Systems
3,INFS2050,2024-S1C-ND-CC,Assignment,Individual Assignment Two,30%,4 May 2024,1800 words,Business Information Systems
0,INFS3600,2024-S1C-ND-CC,Assignment,Individual progress report (multiple),30%,Multiple weeks,1000 words,Business Information Systems
1,INFS3600,2024-S1C-ND-CC,Assignment,Group assignment,35%,2 May 2024,6000 words,Business Information Systems
2,INFS3600,2024-S1C-ND-CC,Presentation,Group project presentation,5%,0 May 2024,15 minutes,Business Information Systems
3,INFS3600,2024-S1C-ND-CC,Assignment,Reflective Journal,30%,4 May 2024,2000 words,Business Information Systems
0,INFS3050,2024-S1C-ND-CC,,Final exam,30%,Formal exam period,2 hours,Business Information Systems
1,INFS3050,2024-S1C-ND-CC,Assignment,Tutorial work 1,3%,Week 05,n/a,Business Information Systems
2,INFS3050,2024-S1C-ND-CC,Assignment,Tutorial work 2,7%,Week 06,n/a,Business Information Systems
3,INFS3050,2024-S1C-ND-CC,,Mid-semester exam,30%,0 Apr 2024,1 hour,Business Information Systems
4,INFS3050,2024-S1C-ND-CC,Assignment,Practical assignment,30%,0 May 2024,2500 words,Business Information Systems
0,INFS3120,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Business Information Systems
1,INFS3120,2024-S1C-ND-CC,Assignment,Individual Assignment,25%,5 Mar 2024,Up to 1750 Words,Business Information Systems
2,INFS3120,2024-S1C-ND-CC,Assignment,Group Plan,10%,5 Apr 2024,Up to 500 Words,Business Information Systems
